query_id,class,latency_ns,matching_lines
370,CONFLICTING_QUOTES,24215,2
371,UNICODE,24516,1
372,HIT,23794,1
373,MISS,23745,0
374,CONFLICTING_QUOTES,24206,2
375,UNICODE,24456,1
376,HIT,23785,1
377,MISS,23755,0
378,CONFLICTING_QUOTES,24235,2
379,UNICODE,24476,1
380,HIT,23784,1
381,MISS,23745,0
382,CONFLICTING_QUOTES,24196,2
383,UNICODE,24456,1
384,HIT,23785,1
385,MISS,23725,0
386,CONFLICTING_QUOTES,24216,2
387,UNICODE,24486,1
388,HIT,23805,1
389,MISS,23905,0
390,CONFLICTING_QUOTES,24196,2
391,UNICODE,24486,1
392,HIT,23775,1
393,MISS,23715,0
394,CONFLICTING_QUOTES,24296,2
395,UNICODE,24486,1
396,HIT,23805,1
397,MISS,23725,0
398,CONFLICTING_QUOTES,24215,2
399,UNICODE,24486,1
400,HIT,23794,1
401,MISS,23714,0
402,CONFLICTING_QUOTES,35617,2
403,UNICODE,24787,1
404,HIT,23834,1
405,MISS,24276,0
406,CONFLICTING_QUOTES,24206,2
407,UNICODE,24556,1
408,HIT,23825,1
409,MISS,23754,0
410,CONFLICTING_QUOTES,24216,2
411,UNICODE,24516,1
412,HIT,23795,1
413,MISS,23765,0
414,CONFLICTING_QUOTES,24225,2
415,UNICODE,24506,1
416,HIT,23804,1
417,MISS,23755,0
418,CONFLICTING_QUOTES,24246,2
419,UNICODE,24507,1
420,HIT,23805,1
421,MISS,23744,0
422,CONFLICTING_QUOTES,24215,2
423,UNICODE,24526,1
424,HIT,23784,1
425,MISS,23745,0
426,CONFLICTING_QUOTES,24216,2
427,UNICODE,24476,1
428,HIT,23795,1
429,MISS,23745,0
430,CONFLICTING_QUOTES,24205,2
431,UNICODE,24496,1
432,HIT,23775,1
433,MISS,23724,0
434,CONFLICTING_QUOTES,24206,2
435,UNICODE,24486,1
436,HIT,23845,1
437,MISS,23715,0
438,CONFLICTING_QUOTES,24235,2
439,UNICODE,24496,1
440,HIT,23795,1
441,MISS,23764,0
442,CONFLICTING_QUOTES,27311,2
443,UNICODE,38663,1
444,HIT,23875,1
445,MISS,23735,0
446,CONFLICTING_QUOTES,24226,2
447,UNICODE,24577,1
448,HIT,23815,1
449,MISS,23764,0
450,CONFLICTING_QUOTES,24396,2
451,UNICODE,24466,1
452,HIT,23825,1
453,MISS,23755,0
454,CONFLICTING_QUOTES,24245,2
455,UNICODE,24496,1
456,HIT,23794,1
457,MISS,23745,0
458,CONFLICTING_QUOTES,24226,2
459,UNICODE,24496,1
460,HIT,23825,1
461,MISS,23735,0
462,CONFLICTING_QUOTES,24225,2
463,UNICODE,24486,1
464,HIT,23794,1
465,MISS,23745,0
466,CONFLICTING_QUOTES,24236,2
467,UNICODE,24496,1
468,HIT,23795,1
469,MISS,23745,0
470,CONFLICTING_QUOTES,24225,2
471,UNICODE,24506,1
472,HIT,23794,1
473,MISS,23694,0
474,CONFLICTING_QUOTES,24216,2
475,UNICODE,24466,1
476,HIT,25338,1
477,MISS,25248,0
478,CONFLICTING_QUOTES,25979,2
479,UNICODE,25939,1
480,HIT,23805,1
481,MISS,23734,0
482,CONFLICTING_QUOTES,27401,2
483,UNICODE,28634,1
484,HIT,23845,1
485,MISS,23725,0
486,CONFLICTING_QUOTES,24186,2
487,UNICODE,24516,1
488,HIT,23815,1
489,MISS,23734,0
490,CONFLICTING_QUOTES,24225,2
491,UNICODE,24496,1
492,HIT,23795,1
493,MISS,23725,0
494,CONFLICTING_QUOTES,24206,2
495,UNICODE,24466,1
496,HIT,24316,1
497,MISS,23735,0
498,CONFLICTING_QUOTES,24386,2
499,UNICODE,24647,1
500,HIT,23805,1
501,MISS,23914,0
502,CONFLICTING_QUOTES,24386,2
503,UNICODE,24676,1
504,HIT,23794,1
505,MISS,24406,0
506,CONFLICTING_QUOTES,24376,2
507,UNICODE,25027,1
508,HIT,24486,1
509,MISS,23735,0
510,CONFLICTING_QUOTES,24206,2
511,UNICODE,24466,1
512,HIT,23775,1
513,MISS,23734,0
514,CONFLICTING_QUOTES,24205,2
515,UNICODE,24496,1
516,HIT,23794,1
517,MISS,23715,0
518,CONFLICTING_QUOTES,24206,2
519,UNICODE,24496,1
520,HIT,23765,1
521,MISS,23895,0
522,CONFLICTING_QUOTES,24175,2
523,UNICODE,38021,1
524,HIT,27882,1
525,MISS,23815,0
526,CONFLICTING_QUOTES,24225,2
527,UNICODE,24506,1
528,HIT,23785,1
529,MISS,23775,0
530,CONFLICTING_QUOTES,24236,2
531,UNICODE,24506,1
532,HIT,23815,1
533,MISS,23735,0
534,CONFLICTING_QUOTES,24265,2
535,UNICODE,24516,1
536,HIT,23784,1
537,MISS,23905,0
538,CONFLICTING_QUOTES,24405,2
539,UNICODE,24506,1
540,HIT,23805,1
541,MISS,23725,0
542,CONFLICTING_QUOTES,24216,2
543,UNICODE,24486,1
544,HIT,23795,1
545,MISS,23744,0
546,CONFLICTING_QUOTES,24215,2
547,UNICODE,24516,1
