rep,documents,operation,sample,latency_ns,correct
0,64,serialize,4,50855,1
0,64,deserialize,4,393129,1
0,64,insert,4,194305,1
0,64,update,4,196079,1
0,64,delete,4,190989,1
0,64,save,4,10368321,1
0,64,load,4,439406,1
0,256,exact,0,2947150,1
0,256,near,0,2951769,1
0,256,miss,0,3322445,1
0,256,unicode,0,3152957,1
0,256,exact,1,2943373,1
0,256,near,1,2908216,1
0,256,miss,1,2907726,1
0,256,unicode,1,2949654,1
0,256,exact,2,2957990,1
0,256,near,2,2957018,1
0,256,miss,2,2949375,1
0,256,unicode,2,2959985,1
0,256,exact,3,2915681,1
0,256,near,3,2929717,1
0,256,miss,3,2894241,1
0,256,unicode,3,2965565,1
0,256,exact,4,2948553,1
0,256,near,4,2929637,1
0,256,miss,4,3100398,1
0,256,unicode,4,3085751,1
0,256,exact,5,3081713,1
0,256,near,5,2927072,1
0,256,miss,5,2893790,1
0,256,unicode,5,2963641,1
0,256,exact,6,2925049,1
0,256,near,6,2928155,1
0,256,miss,6,2987136,1
0,256,unicode,6,2997585,1
0,256,exact,7,2953141,1
0,256,near,7,2909449,1
0,256,miss,7,2929027,1
0,256,unicode,7,2991584,1
0,256,exact,8,2940277,1
0,256,near,8,2920280,1
0,256,miss,8,2975784,1
0,256,unicode,8,3077265,1
0,256,exact,9,2911954,1
0,256,near,9,2990953,1
0,256,miss,9,4075441,1
0,256,unicode,9,3059361,1
0,256,exact,10,3048130,1
0,256,near,10,3016932,1
0,256,miss,10,3011952,1
0,256,unicode,10,3093455,1
0,256,exact,11,3031459,1
0,256,near,11,3002204,1
0,256,miss,11,3018064,1
0,256,unicode,11,3041457,1
0,256,exact,12,3022051,1
0,256,near,12,3008836,1
0,256,miss,12,2961026,1
0,256,unicode,12,2972588,1
0,256,exact,13,3061616,1
0,256,near,13,3098434,1
0,256,miss,13,2908238,1
0,256,unicode,13,2935468,1
0,256,exact,14,2948342,1
0,256,near,14,2915331,1
0,256,miss,14,2928996,1
0,256,unicode,14,2961678,1
0,256,exact,15,2956047,1
0,256,near,15,3008485,1
0,256,miss,15,2915090,1
0,256,unicode,15,2996252,1
0,256,exact,16,3001172,1
0,256,near,16,2926721,1
0,256,miss,16,2950937,1
0,256,unicode,16,2969492,1
0,256,exact,17,3012022,1
0,256,near,17,2921872,1
0,256,miss,17,2953903,1
0,256,unicode,17,3000871,1
0,256,exact,18,2926541,1
0,256,near,18,2954073,1
0,256,miss,18,2910061,1
0,256,unicode,18,3051817,1
0,256,exact,19,2939106,1
0,256,near,19,2928555,1
0,256,miss,19,2949074,1
0,256,unicode,19,2937793,1
0,256,exact,20,2957149,1
0,256,near,20,3139301,1
0,256,miss,20,3244689,1
0,256,unicode,20,3337804,1
0,256,exact,21,3298761,1
0,256,near,21,3252314,1
0,256,miss,21,3073829,1
0,256,unicode,21,2950647,1
0,256,exact,22,2991584,1
0,256,near,22,2944105,1
0,256,miss,22,2932302,1
0,256,unicode,22,2986023,1
0,256,exact,23,2923186,1
0,256,near,23,2955255,1
0,256,miss,23,2972337,1
0,256,unicode,23,2954424,1
0,256,exact,24,2943082,1
0,256,near,24,2921222,1
0,256,miss,24,2934156,1
0,256,unicode,24,2953852,1
0,256,exact,25,3195447,1
0,256,near,25,3148148,1
